
           ####      G N O M              Version 5.0 (r6759)      ####
                                               Tue Nov 14 11:34:33 2017

           ####      Configuration                                 ####

    System Type:                   arbitrary monodisperse (job = 0)
    Minimum characteristic size:         0.0000
    Maximum characteristic size:       109.6400
    rad56:                               0.0000
    Force 0.0 at r = rmin:                  yes
    Force 0.0 at r = rmax:                  yes
    Initial alpha:                       0.0000
    Initial random seed:             1510677273
    Points in real space:                   214

    Input  1:                      /Users/Rizzo/Desktop/paper_stuff/SAXS_for_SASBDB/SAXS_curves/M_S_A_hRev73_WT_1988_10pt63.dat
    First data point used:                   20
    Last data point used:                   465
    Scaling coefficient:             0.1000E+01
    Experimental setup:            point collimation


           ####      Results                                       ####

    Parameter    DISCRP  OSCILL  STABIL  SYSDEV  POSITV  VALCEN  SMOOTH
    Weight        1.000   3.000   3.000   3.000   1.000   1.000   2.000
    Sigma         0.300   0.600   0.120   0.120   0.120   0.120   0.600
    Ideal         0.700   1.100   0.000   1.000   1.000   0.950   0.000
    Current       0.829   1.517   0.001   1.007   1.000   0.858   0.144
               --------------------------------------------------------
    Estimate      0.831   0.616   1.000   1.000   1.000   0.559   0.944

    Angular range:                       0.0195 to       0.3023
    Reciprocal space Rg:             0.3003E+02
    Reciprocal space I(0):           0.3694E+00

    Real space range:                    0.0000 to     109.6400
    Real space Rg:                   0.3009E+02 +-   0.4387E-01
    Real space I(0):                 0.3694E+00 +-   0.3151E-03

    Highest ALPHA (theor):           0.2863E+06
    Current ALPHA:                   0.2497E+02

    Total Estimate:                      0.8662 (a GOOD solution)


           ####      Experimental Data and Fit                     ####

      S          J EXP       ERROR       J REG       I REG

   0.000000E+00                                                0.369446E+00
   0.695544E-03                                                0.369391E+00
   0.139109E-02                                                0.369230E+00
   0.208663E-02                                                0.368960E+00
   0.278218E-02                                                0.368583E+00
   0.347772E-02                                                0.368100E+00
   0.417327E-02                                                0.367509E+00
   0.486881E-02                                                0.366813E+00
   0.556435E-02                                                0.366011E+00
   0.625990E-02                                                0.365105E+00
   0.695544E-02                                                0.364094E+00
   0.765099E-02                                                0.362982E+00
   0.834653E-02                                                0.361767E+00
   0.904208E-02                                                0.360452E+00
   0.973762E-02                                                0.359038E+00
   0.104332E-01                                                0.357525E+00
   0.111287E-01                                                0.355916E+00
   0.118243E-01                                                0.354212E+00
   0.125198E-01                                                0.352414E+00
   0.132153E-01                                                0.350525E+00
   0.139109E-01                                                0.348545E+00
   0.146064E-01                                                0.346477E+00
   0.153020E-01                                                0.344323E+00
   0.159975E-01                                                0.342084E+00
   0.166931E-01                                                0.339763E+00
   0.173886E-01                                                0.337362E+00
   0.180842E-01                                                0.334882E+00
   0.187797E-01                                                0.332326E+00
   0.194752E-01   0.326787E+00   0.906229E-03   0.329697E+00   0.329697E+00
   0.200480E-01   0.326214E+00   0.857026E-03   0.327478E+00   0.327478E+00
   0.206208E-01   0.322663E+00   0.851283E-03   0.325211E+00   0.325211E+00
   0.211936E-01   0.321462E+00   0.863605E-03   0.322899E+00   0.322899E+00
   0.217664E-01   0.320647E+00   0.850538E-03   0.320543E+00   0.320543E+00
   0.223392E-01   0.317844E+00   0.813532E-03   0.318143E+00   0.318143E+00
   0.229120E-01   0.315068E+00   0.769206E-03   0.315702E+00   0.315702E+00
   0.234848E-01   0.312368E+00   0.744427E-03   0.313220E+00   0.313220E+00
   0.240576E-01   0.310254E+00   0.728619E-03   0.310700E+00   0.310700E+00
   0.246304E-01   0.307971E+00   0.743488E-03   0.308142E+00   0.308142E+00
   0.252032E-01   0.306588E+00   0.686850E-03   0.305548E+00   0.305548E+00
   0.257759E-01   0.301823E+00   0.657667E-03   0.302919E+00   0.302919E+00
   0.263487E-01   0.300219E+00   0.637434E-03   0.300257E+00   0.300257E+00
   0.269215E-01   0.297579E+00   0.601968E-03   0.297563E+00   0.297563E+00
   0.274943E-01   0.294487E+00   0.601744E-03   0.294840E+00   0.294840E+00
   0.280671E-01   0.291419E+00   0.572428E-03   0.292087E+00   0.292087E+00
   0.286399E-01   0.288292E+00   0.569453E-03   0.289307E+00   0.289307E+00
   0.292126E-01   0.286642E+00   0.560029E-03   0.286501E+00   0.286501E+00
   0.297854E-01   0.284319E+00   0.525440E-03   0.283671E+00   0.283671E+00
   0.303582E-01   0.281444E+00   0.528057E-03   0.280818E+00   0.280818E+00
   0.309310E-01   0.277762E+00   0.539885E-03   0.277943E+00   0.277943E+00
   0.315038E-01   0.274699E+00   0.544916E-03   0.275048E+00   0.275048E+00
   0.320765E-01   0.272787E+00   0.523280E-03   0.272135E+00   0.272135E+00
   0.326493E-01   0.269122E+00   0.502635E-03   0.269205E+00   0.269205E+00
   0.332221E-01   0.266501E+00   0.495350E-03   0.266259E+00   0.266259E+00
   0.337949E-01   0.263382E+00   0.507347E-03   0.263298E+00   0.263298E+00
   0.343677E-01   0.262332E+00   0.498888E-03   0.260325E+00   0.260325E+00
   0.349404E-01   0.258663E+00   0.492030E-03   0.257341E+00   0.257341E+00
   0.355132E-01   0.254328E+00   0.487555E-03   0.254346E+00   0.254346E+00
   0.360860E-01   0.251667E+00   0.475310E-03   0.251343E+00   0.251343E+00
   0.366587E-01   0.248706E+00   0.467138E-03   0.248332E+00   0.248332E+00
   0.372315E-01   0.246045E+00   0.477020E-03   0.245315E+00   0.245315E+00
   0.378043E-01   0.242209E+00   0.447330E-03   0.242294E+00   0.242294E+00
   0.383770E-01   0.240275E+00   0.463724E-03   0.239269E+00   0.239269E+00
   0.389498E-01   0.236303E+00   0.457650E-03   0.236243E+00   0.236243E+00
   0.395226E-01   0.234305E+00   0.438496E-03   0.233215E+00   0.233215E+00
   0.400953E-01   0.230682E+00   0.438231E-03   0.230189E+00   0.230189E+00
   0.406681E-01   0.228015E+00   0.427657E-03   0.227163E+00   0.227163E+00
   0.412409E-01   0.224181E+00   0.428215E-03   0.224141E+00   0.224141E+00
   0.418136E-01   0.221698E+00   0.418205E-03   0.221123E+00   0.221123E+00
   0.423864E-01   0.218695E+00   0.418856E-03   0.218111E+00   0.218111E+00
   0.429591E-01   0.215151E+00   0.403571E-03   0.215104E+00   0.215104E+00
   0.435319E-01   0.211502E+00   0.406198E-03   0.212106E+00   0.212106E+00
   0.441046E-01   0.208914E+00   0.407127E-03   0.209116E+00   0.209116E+00
   0.446774E-01   0.206576E+00   0.393168E-03   0.206135E+00   0.206135E+00
   0.452501E-01   0.203047E+00   0.380368E-03   0.203166E+00   0.203166E+00
   0.458229E-01   0.200110E+00   0.398831E-03   0.200208E+00   0.200208E+00
   0.463956E-01   0.197060E+00   0.374747E-03   0.197263E+00   0.197263E+00
   0.469684E-01   0.194084E+00   0.378257E-03   0.194332E+00   0.194332E+00
   0.475411E-01   0.191644E+00   0.370921E-03   0.191416E+00   0.191416E+00
   0.481139E-01   0.187984E+00   0.371977E-03   0.188515E+00   0.188515E+00
   0.486866E-01   0.185209E+00   0.371853E-03   0.185630E+00   0.185630E+00
   0.492594E-01   0.182554E+00   0.350966E-03   0.182763E+00   0.182763E+00
   0.498321E-01   0.179449E+00   0.355634E-03   0.179914E+00   0.179914E+00
   0.504048E-01   0.176352E+00   0.346252E-03   0.177084E+00   0.177084E+00
   0.509776E-01   0.173452E+00   0.341752E-03   0.174274E+00   0.174274E+00
   0.515503E-01   0.171359E+00   0.340356E-03   0.171484E+00   0.171484E+00
   0.521230E-01   0.167497E+00   0.341044E-03   0.168715E+00   0.168715E+00
   0.526958E-01   0.165895E+00   0.329396E-03   0.165968E+00   0.165968E+00
   0.532685E-01   0.163271E+00   0.336795E-03   0.163244E+00   0.163244E+00
   0.538412E-01   0.160487E+00   0.325341E-03   0.160542E+00   0.160542E+00
   0.544140E-01   0.157902E+00   0.317629E-03   0.157864E+00   0.157864E+00
   0.549867E-01   0.156356E+00   0.333987E-03   0.155211E+00   0.155211E+00
   0.555594E-01   0.154212E+00   0.345023E-03   0.152582E+00   0.152582E+00
   0.561321E-01   0.150595E+00   0.344642E-03   0.149978E+00   0.149978E+00
   0.567049E-01   0.148446E+00   0.339730E-03   0.147400E+00   0.147400E+00
   0.572776E-01   0.144751E+00   0.339467E-03   0.144849E+00   0.144849E+00
   0.578503E-01   0.141884E+00   0.348705E-03   0.142323E+00   0.142323E+00
   0.584230E-01   0.139739E+00   0.338389E-03   0.139825E+00   0.139825E+00
   0.589957E-01   0.137693E+00   0.344350E-03   0.137355E+00   0.137355E+00
   0.595684E-01   0.134694E+00   0.337621E-03   0.134912E+00   0.134912E+00
   0.601412E-01   0.132783E+00   0.342266E-03   0.132496E+00   0.132496E+00
   0.607139E-01   0.129411E+00   0.344869E-03   0.130110E+00   0.130110E+00
   0.612866E-01   0.127683E+00   0.334461E-03   0.127751E+00   0.127751E+00
   0.618593E-01   0.125246E+00   0.335005E-03   0.125422E+00   0.125422E+00
