           Distance distribution  function of particle  


       R          P(R)      ERROR

  0.0000E+00  0.0000E+00  0.0000E+00
  0.7927E+00  0.4721E-01  0.3946E-03
  0.1585E+01  0.8590E-01  0.6570E-03
  0.2378E+01  0.1164E+00  0.7996E-03
  0.3171E+01  0.1395E+00  0.8419E-03
  0.3963E+01  0.1558E+00  0.8126E-03
  0.4756E+01  0.1663E+00  0.7519E-03
  0.5549E+01  0.1722E+00  0.7123E-03
  0.6342E+01  0.1745E+00  0.7419E-03
  0.7134E+01  0.1744E+00  0.8487E-03
  0.7927E+01  0.1731E+00  0.1000E-02
  0.8720E+01  0.1715E+00  0.1159E-02
  0.9512E+01  0.1706E+00  0.1298E-02
  0.1031E+02  0.1710E+00  0.1401E-02
  0.1110E+02  0.1733E+00  0.1464E-02
  0.1189E+02  0.1778E+00  0.1489E-02
  0.1268E+02  0.1846E+00  0.1485E-02
  0.1348E+02  0.1939E+00  0.1467E-02
  0.1427E+02  0.2053E+00  0.1452E-02
  0.1506E+02  0.2185E+00  0.1455E-02
  0.1585E+02  0.2332E+00  0.1486E-02
  0.1665E+02  0.2488E+00  0.1545E-02
  0.1744E+02  0.2648E+00  0.1622E-02
  0.1823E+02  0.2807E+00  0.1705E-02
  0.1902E+02  0.2961E+00  0.1780E-02
  0.1982E+02  0.3104E+00  0.1838E-02
  0.2061E+02  0.3234E+00  0.1873E-02
  0.2140E+02  0.3349E+00  0.1883E-02
  0.2220E+02  0.3445E+00  0.1870E-02
  0.2299E+02  0.3523E+00  0.1839E-02
  0.2378E+02  0.3582E+00  0.1796E-02
  0.2457E+02  0.3624E+00  0.1749E-02
  0.2537E+02  0.3649E+00  0.1705E-02
  0.2616E+02  0.3660E+00  0.1668E-02
  0.2695E+02  0.3658E+00  0.1640E-02
  0.2774E+02  0.3645E+00  0.1621E-02
  0.2854E+02  0.3624E+00  0.1608E-02
  0.2933E+02  0.3596E+00  0.1599E-02
  0.3012E+02  0.3563E+00  0.1592E-02
  0.3092E+02  0.3527E+00  0.1585E-02
  0.3171E+02  0.3487E+00  0.1579E-02
  0.3250E+02  0.3445E+00  0.1576E-02
  0.3329E+02  0.3401E+00  0.1579E-02
  0.3409E+02  0.3356E+00  0.1589E-02
  0.3488E+02  0.3308E+00  0.1610E-02
  0.3567E+02  0.3260E+00  0.1641E-02
  0.3646E+02  0.3209E+00  0.1681E-02
  0.3726E+02  0.3156E+00  0.1728E-02
  0.3805E+02  0.3101E+00  0.1779E-02
  0.3884E+02  0.3044E+00  0.1831E-02
  0.3963E+02  0.2985E+00  0.1881E-02
  0.4043E+02  0.2923E+00  0.1928E-02
  0.4122E+02  0.2860E+00  0.1970E-02
  0.4201E+02  0.2796E+00  0.2008E-02
  0.4281E+02  0.2730E+00  0.2041E-02
  0.4360E+02  0.2663E+00  0.2071E-02
  0.4439E+02  0.2596E+00  0.2098E-02
  0.4518E+02  0.2527E+00  0.2124E-02
  0.4598E+02  0.2459E+00  0.2150E-02
  0.4677E+02  0.2389E+00  0.2176E-02
  0.4756E+02  0.2319E+00  0.2201E-02
  0.4835E+02  0.2249E+00  0.2227E-02
  0.4915E+02  0.2177E+00  0.2251E-02
  0.4994E+02  0.2106E+00  0.2274E-02
  0.5073E+02  0.2033E+00  0.2293E-02
  0.5153E+02  0.1960E+00  0.2310E-02
  0.5232E+02  0.1886E+00  0.2322E-02
  0.5311E+02  0.1812E+00  0.2330E-02
  0.5390E+02  0.1737E+00  0.2333E-02
  0.5470E+02  0.1663E+00  0.2333E-02
  0.5549E+02  0.1588E+00  0.2329E-02
  0.5628E+02  0.1515E+00  0.2322E-02
  0.5707E+02  0.1442E+00  0.2313E-02
  0.5787E+02  0.1371E+00  0.2302E-02
  0.5866E+02  0.1301E+00  0.2291E-02
  0.5945E+02  0.1234E+00  0.2280E-02
  0.6025E+02  0.1169E+00  0.2271E-02
  0.6104E+02  0.1107E+00  0.2265E-02
  0.6183E+02  0.1048E+00  0.2263E-02
  0.6262E+02  0.9912E-01  0.2267E-02
  0.6342E+02  0.9376E-01  0.2278E-02
  0.6421E+02  0.8868E-01  0.2296E-02
  0.6500E+02  0.8385E-01  0.2322E-02
  0.6579E+02  0.7925E-01  0.2354E-02
  0.6659E+02  0.7485E-01  0.2389E-02
  0.6738E+02  0.7062E-01  0.2424E-02
  0.6817E+02  0.6651E-01  0.2455E-02
  0.6896E+02  0.6249E-01  0.2476E-02
  0.6976E+02  0.5851E-01  0.2482E-02
  0.7055E+02  0.5453E-01  0.2468E-02
  0.7134E+02  0.5050E-01  0.2429E-02
  0.7214E+02  0.4640E-01  0.2361E-02
  0.7293E+02  0.4218E-01  0.2259E-02
  0.7372E+02  0.3779E-01  0.2120E-02
  0.7451E+02  0.3321E-01  0.1942E-02
  0.7531E+02  0.2841E-01  0.1724E-02
  0.7610E+02  0.2334E-01  0.1464E-02
  0.7689E+02  0.1799E-01  0.1161E-02
  0.7768E+02  0.1233E-01  0.8163E-03
  0.7848E+02  0.6343E-02  0.4290E-03
  0.7927E+02  0.0000E+00  0.0000E+00

