           Distance distribution  function of particle  


       R          P(R)      ERROR

  0.0000E+00  0.0000E+00  0.0000E+00
  0.1429E+01  0.3414E-02  0.2166E-03
  0.2857E+01  0.6078E-02  0.3217E-03
  0.4286E+01  0.8040E-02  0.3292E-03
  0.5714E+01  0.9376E-02  0.2618E-03
  0.7143E+01  0.1019E-01  0.1572E-03
  0.8571E+01  0.1058E-01  0.1263E-03
  0.1000E+02  0.1068E-01  0.2372E-03
  0.1143E+02  0.1059E-01  0.3601E-03
  0.1286E+02  0.1044E-01  0.4496E-03
  0.1429E+02  0.1029E-01  0.4907E-03
  0.1571E+02  0.1022E-01  0.4808E-03
  0.1714E+02  0.1028E-01  0.4279E-03
  0.1857E+02  0.1047E-01  0.3527E-03
  0.2000E+02  0.1078E-01  0.2934E-03
  0.2143E+02  0.1120E-01  0.2956E-03
  0.2286E+02  0.1168E-01  0.3563E-03
  0.2429E+02  0.1217E-01  0.4302E-03
  0.2571E+02  0.1263E-01  0.4839E-03
  0.2714E+02  0.1301E-01  0.5031E-03
  0.2857E+02  0.1327E-01  0.4865E-03
  0.3000E+02  0.1339E-01  0.4447E-03
  0.3143E+02  0.1335E-01  0.4001E-03
  0.3286E+02  0.1318E-01  0.3823E-03
  0.3429E+02  0.1287E-01  0.4085E-03
  0.3571E+02  0.1246E-01  0.4652E-03
  0.3714E+02  0.1198E-01  0.5255E-03
  0.3857E+02  0.1148E-01  0.5694E-03
  0.4000E+02  0.1097E-01  0.5876E-03
  0.4143E+02  0.1050E-01  0.5813E-03
  0.4286E+02  0.1007E-01  0.5599E-03
  0.4429E+02  0.9713E-02  0.5386E-03
  0.4571E+02  0.9418E-02  0.5313E-03
  0.4714E+02  0.9181E-02  0.5430E-03
  0.4857E+02  0.8989E-02  0.5663E-03
  0.5000E+02  0.8821E-02  0.5882E-03
  0.5143E+02  0.8659E-02  0.5984E-03
  0.5286E+02  0.8482E-02  0.5947E-03
  0.5429E+02  0.8273E-02  0.5838E-03
  0.5571E+02  0.8023E-02  0.5794E-03
  0.5714E+02  0.7727E-02  0.5957E-03
  0.5857E+02  0.7385E-02  0.6374E-03
  0.6000E+02  0.7005E-02  0.6961E-03
  0.6143E+02  0.6600E-02  0.7561E-03
  0.6286E+02  0.6182E-02  0.8027E-03
  0.6429E+02  0.5769E-02  0.8268E-03
  0.6571E+02  0.5372E-02  0.8258E-03
  0.6714E+02  0.5005E-02  0.8042E-03
  0.6857E+02  0.4674E-02  0.7721E-03
  0.7000E+02  0.4381E-02  0.7428E-03
  0.7143E+02  0.4127E-02  0.7280E-03
  0.7286E+02  0.3905E-02  0.7328E-03
  0.7429E+02  0.3710E-02  0.7537E-03
  0.7571E+02  0.3532E-02  0.7825E-03
  0.7714E+02  0.3364E-02  0.8117E-03
  0.7857E+02  0.3199E-02  0.8374E-03
  0.8000E+02  0.3033E-02  0.8592E-03
  0.8143E+02  0.2865E-02  0.8789E-03
  0.8286E+02  0.2697E-02  0.8976E-03
  0.8429E+02  0.2530E-02  0.9144E-03
  0.8571E+02  0.2370E-02  0.9271E-03
  0.8714E+02  0.2218E-02  0.9334E-03
  0.8857E+02  0.2076E-02  0.9325E-03
  0.9000E+02  0.1941E-02  0.9258E-03
  0.9143E+02  0.1805E-02  0.9140E-03
  0.9286E+02  0.1658E-02  0.8937E-03
  0.9429E+02  0.1480E-02  0.8532E-03
  0.9571E+02  0.1250E-02  0.7720E-03
  0.9714E+02  0.9445E-03  0.6229E-03
  0.9857E+02  0.5362E-03  0.3754E-03
  0.1000E+03  0.0000E+00  0.0000E+00

