# SAXS profile: number of points = 380, q_min = 0.0151024, q_max = 0.361593, delta_q = 0.000914223218997361
# offset = 0.00000000000000, scaling c = 0.000391821599637437, Chi = 1.13023685931554
#  q       exp_intensity   model_intensity
0.24274    6.96777000      6.71922181     
0.24366    6.90618000      6.65892195     
0.24457    6.76294000      6.59980926     
0.24549    6.47307000      6.54175752     
0.24640    6.23910000      6.48463670     
0.24732    6.81974000      6.42834613     
0.24823    6.69917000      6.37273899     
0.24914    7.02429000      6.31860992     
0.25006    6.61673000      6.26551709     
0.25097    6.55645000      6.21313570     
0.25189    6.07221000      6.16198896     
0.25280    5.73835000      6.11163868     
0.25371    5.74047000      6.06209807     
0.25463    5.99768000      6.01329713     
0.25554    5.96781000      5.96539338     
0.25646    5.95921000      5.91823945     
0.25737    5.71016000      5.87186097     
0.25828    5.65189000      5.82630045     
0.25920    5.49787000      5.78131289     
0.26011    5.51280000      5.73706374     
0.26103    5.26324000      5.69355660     
0.26194    5.51723000      5.65024623     
0.26286    5.38875000      5.60802963     
0.26377    5.54567000      5.56659451     
0.26469    5.41192000      5.52580348     
0.26560    5.03899000      5.48559090     
0.26651    5.29207000      5.44601677     
0.26743    5.91337000      5.40705464     
0.26834    5.34447000      5.36869351     
0.26926    5.21531000      5.33086408     
0.27017    5.19403000      5.29368000     
0.27109    5.19232000      5.25698827     
0.27200    5.17226000      5.22099270     
0.27291    4.72440000      5.18544746     
0.27383    4.74126000      5.15048300     
0.27474    5.14194000      5.11608338     
0.27566    4.98974000      5.08215234     
0.27657    4.96578000      5.04878763     
0.27748    4.75249000      5.01599260     
0.27840    4.66325000      4.98369450     
0.27931    5.15104000      4.95183795     
0.28023    5.33091000      4.92060405     
0.28114    5.08883000      4.88988813     
0.28206    5.22469000      4.85954534     
0.28297    5.18535000      4.82993558     
0.28388    4.82516000      4.80064438     
0.28480    4.50653000      4.77202523     
0.28571    4.75515000      4.74413373     
0.28663    4.78568000      4.71651809     
0.28754    4.47668000      4.68927759     
0.28846    4.52190000      4.66264841     
0.28937    4.69971000      4.63653428     
0.29028    4.30966000      4.61085155     
0.29120    4.61131000      4.58568323     
0.29211    4.67888000      4.56107754     
0.29303    4.65727000      4.53693411     
0.29394    4.51763000      4.51335908     
0.29485    4.47711000      4.49027534     
0.29577    4.58951000      4.46767049     
0.29668    4.54537000      4.44561085     
0.29760    4.28373000      4.42414636     
0.29851    4.41687000      4.40316530     
0.29942    4.37035000      4.38276688     
0.30034    4.27493000      4.36289726     
0.30125    4.34278000      4.34340990     
0.30217    4.32415000      4.32450149     
0.30308    4.40035000      4.30605332     
0.30400    4.42133000      4.28811534     
0.30491    4.38968000      4.27077144     
0.30583    4.46006000      4.25393562     
0.30674    4.54033000      4.23766051     
0.30765    4.25605000      4.22186860     
0.30857    4.50332000      4.20674809     
0.30948    3.97105000      4.19209097     
0.31040    3.67449000      4.17783237     
0.31131    3.71706000      4.16410603     
0.31222    3.97205000      4.15081914     
0.31314    4.12685000      4.13814854     
0.31405    3.80625000      4.12596863     
0.31497    4.10177000      4.11427037     
0.31588    4.42827000      4.10330007     
0.31680    4.45719000      4.09271353     
0.31771    4.26589000      4.08255450     
0.31862    4.01897000      4.07295926     
0.31954    3.64620000      4.06382749     
0.32045    3.86944000      4.05514817     
0.32137    3.75308000      4.04708277     
0.32228    3.90438000      4.03952710     
0.32320    4.86994000      4.03221967     
0.32411    4.54017000      4.02550665     
0.32502    4.15257000      4.01923963     
0.32594    3.94493000      4.01336758     
0.32685    4.08305000      4.00807259     
0.32777    4.16161000      4.00340128     
0.32868    4.16353000      3.99901098     
0.32960    4.24778000      3.99502627     
0.33051    4.22461000      3.99144312     
0.33142    4.11838000      3.98834974     
0.33234    4.30466000      3.98575107     
0.33325    4.12416000      3.98346833     
0.33417    4.03389000      3.98152397     
0.33508    3.80502000      3.97995706     
0.33599    4.06296000      3.97879622     
0.33691    4.10942000      3.97820980     
0.33782    4.37321000      3.97787467     
0.33874    4.31689000      3.97790736     
0.33965    3.99887000      3.97821548     
0.34057    4.05791000      3.97897959     
0.34148    4.41364000      3.98012023     
0.34239    3.79122000      3.98149185     
0.34331    3.56671000      3.98313606     
0.34422    4.01318000      3.98517561     
0.34514    3.99286000      3.98762740     
0.34605    4.18357000      3.99015661     
0.34697    4.05478000      3.99304099     
0.34788    4.16229000      3.99615351     
0.34879    3.88698000      3.99970530     
0.34971    3.72574000      4.00343946     
