           ####      Real Space Data                               ####

           Distance distribution  function of particle  


      R          P(R)      ERROR
  0.2344E+02  0.1444E+00  0.7970E-03
  0.2374E+02  0.1418E+00  0.8042E-03
  0.2405E+02  0.1392E+00  0.8096E-03
  0.2436E+02  0.1366E+00  0.8131E-03
  0.2467E+02  0.1340E+00  0.8150E-03
  0.2498E+02  0.1314E+00  0.8155E-03
  0.2529E+02  0.1289E+00  0.8147E-03
  0.2559E+02  0.1263E+00  0.8128E-03
  0.2590E+02  0.1239E+00  0.8100E-03
  0.2621E+02  0.1214E+00  0.8067E-03
  0.2652E+02  0.1191E+00  0.8031E-03
  0.2683E+02  0.1168E+00  0.7994E-03
  0.2714E+02  0.1145E+00  0.7959E-03
  0.2744E+02  0.1124E+00  0.7929E-03
  0.2775E+02  0.1103E+00  0.7905E-03
  0.2806E+02  0.1083E+00  0.7891E-03
  0.2837E+02  0.1065E+00  0.7886E-03
  0.2868E+02  0.1046E+00  0.7894E-03
  0.2899E+02  0.1029E+00  0.7913E-03
  0.2930E+02  0.1013E+00  0.7945E-03
  0.2960E+02  0.9980E-01  0.7990E-03
  0.2991E+02  0.9837E-01  0.8046E-03
  0.3022E+02  0.9704E-01  0.8113E-03
  0.3053E+02  0.9581E-01  0.8189E-03
  0.3084E+02  0.9466E-01  0.8272E-03
  0.3115E+02  0.9361E-01  0.8360E-03
  0.3145E+02  0.9264E-01  0.8452E-03
  0.3176E+02  0.9176E-01  0.8546E-03
  0.3207E+02  0.9096E-01  0.8640E-03
  0.3238E+02  0.9024E-01  0.8731E-03
  0.3269E+02  0.8959E-01  0.8819E-03
  0.3300E+02  0.8901E-01  0.8903E-03
  0.3330E+02  0.8849E-01  0.8981E-03
  0.3361E+02  0.8804E-01  0.9052E-03
  0.3392E+02  0.8763E-01  0.9118E-03
  0.3423E+02  0.8727E-01  0.9177E-03
  0.3454E+02  0.8696E-01  0.9231E-03
  0.3485E+02  0.8668E-01  0.9279E-03
  0.3515E+02  0.8643E-01  0.9324E-03
  0.3546E+02  0.8621E-01  0.9367E-03
  0.3577E+02  0.8600E-01  0.9409E-03
  0.3608E+02  0.8580E-01  0.9453E-03
  0.3639E+02  0.8562E-01  0.9500E-03
  0.3670E+02  0.8543E-01  0.9553E-03
  0.3700E+02  0.8524E-01  0.9613E-03
  0.3731E+02  0.8504E-01  0.9684E-03
  0.3762E+02  0.8482E-01  0.9766E-03
  0.3793E+02  0.8458E-01  0.9861E-03
  0.3824E+02  0.8432E-01  0.9971E-03
  0.3855E+02  0.8403E-01  0.1010E-02
  0.3885E+02  0.8370E-01  0.1024E-02
  0.3916E+02  0.8334E-01  0.1039E-02
