           Distance distribution  function of particle  


      R          P(R)      ERROR
  0.3964E+02  0.5955E-03  0.8329E-06
  0.4015E+02  0.5867E-03  0.8754E-06
  0.4066E+02  0.5778E-03  0.9074E-06
  0.4118E+02  0.5688E-03  0.9274E-06
  0.4169E+02  0.5599E-03  0.9350E-06
  0.4221E+02  0.5509E-03  0.9300E-06
  0.4272E+02  0.5421E-03  0.9134E-06
  0.4324E+02  0.5332E-03  0.8866E-06
  0.4375E+02  0.5245E-03  0.8520E-06
  0.4427E+02  0.5159E-03  0.8124E-06
  0.4478E+02  0.5074E-03  0.7718E-06
  0.4530E+02  0.4990E-03  0.7342E-06
  0.4581E+02  0.4908E-03  0.7043E-06
  0.4633E+02  0.4827E-03  0.6860E-06
  0.4684E+02  0.4747E-03  0.6819E-06
  0.4736E+02  0.4668E-03  0.6923E-06
  0.4787E+02  0.4591E-03  0.7153E-06
  0.4839E+02  0.4515E-03  0.7473E-06
  0.4890E+02  0.4439E-03  0.7839E-06
  0.4942E+02  0.4365E-03  0.8210E-06
  0.4993E+02  0.4291E-03  0.8550E-06
  0.5044E+02  0.4218E-03  0.8832E-06
  0.5096E+02  0.4145E-03  0.9038E-06
  0.5147E+02  0.4072E-03  0.9157E-06
  0.5199E+02  0.3999E-03  0.9189E-06
  0.5250E+02  0.3926E-03  0.9140E-06
  0.5302E+02  0.3853E-03  0.9024E-06
  0.5353E+02  0.3780E-03  0.8865E-06
  0.5405E+02  0.3706E-03  0.8691E-06
  0.5456E+02  0.3632E-03  0.8534E-06
  0.5508E+02  0.3557E-03  0.8430E-06
  0.5559E+02  0.3482E-03  0.8405E-06
  0.5611E+02  0.3405E-03  0.8480E-06
  0.5662E+02  0.3328E-03  0.8659E-06
  0.5714E+02  0.3251E-03  0.8930E-06
  0.5765E+02  0.3173E-03  0.9270E-06
  0.5817E+02  0.3094E-03  0.9647E-06
  0.5868E+02  0.3015E-03  0.1003E-05
  0.5920E+02  0.2935E-03  0.1038E-05
  0.5971E+02  0.2855E-03  0.1068E-05
  0.6022E+02  0.2775E-03  0.1089E-05
  0.6074E+02  0.2695E-03  0.1102E-05
  0.6125E+02  0.2615E-03  0.1104E-05
  0.6177E+02  0.2535E-03  0.1097E-05
  0.6228E+02  0.2456E-03  0.1080E-05
  0.6280E+02  0.2377E-03  0.1056E-05
  0.6331E+02  0.2299E-03  0.1028E-05
  0.6383E+02  0.2222E-03  0.9985E-06
  0.6434E+02  0.2145E-03  0.9723E-06
  0.6486E+02  0.2071E-03  0.9534E-06
  0.6537E+02  0.1997E-03  0.9459E-06
  0.6589E+02  0.1925E-03  0.9524E-06
  0.6640E+02  0.1854E-03  0.9735E-06
  0.6692E+02  0.1785E-03  0.1008E-05
  0.6743E+02  0.1718E-03  0.1052E-05
  0.6795E+02  0.1653E-03  0.1103E-05
  0.6846E+02  0.1590E-03  0.1155E-05
  0.6898E+02  0.1529E-03  0.1204E-05
  0.6949E+02  0.1469E-03  0.1247E-05
  0.7000E+02  0.1412E-03  0.1280E-05
  0.7052E+02  0.1357E-03  0.1303E-05
  0.7103E+02  0.1304E-03  0.1312E-05
  0.7155E+02  0.1253E-03  0.1309E-05
  0.7206E+02  0.1204E-03  0.1293E-05
  0.7258E+02  0.1157E-03  0.1268E-05
  0.7309E+02  0.1112E-03  0.1235E-05
  0.7361E+02  0.1069E-03  0.1199E-05
  0.7412E+02  0.1028E-03  0.1166E-05
  0.7464E+02  0.9882E-04  0.1140E-05
  0.7515E+02  0.9503E-04  0.1127E-05
  0.7567E+02  0.9141E-04  0.1133E-05
  0.7618E+02  0.8794E-04  0.1159E-05
  0.7670E+02  0.8462E-04  0.1205E-05
  0.7721E+02  0.8144E-04  0.1266E-05
  0.7773E+02  0.7838E-04  0.1339E-05
  0.7824E+02  0.7545E-04  0.1417E-05
  0.7876E+02  0.7263E-04  0.1494E-05
  0.7927E+02  0.6992E-04  0.1565E-05
  0.7978E+02  0.6730E-04  0.1626E-05
  0.8030E+02  0.6478E-04  0.1673E-05
  0.8081E+02  0.6234E-04  0.1704E-05
  0.8133E+02  0.5999E-04  0.1716E-05
  0.8184E+02  0.5770E-04  0.1710E-05
  0.8236E+02  0.5549E-04  0.1686E-05
  0.8287E+02  0.5334E-04  0.1645E-05
  0.8339E+02  0.5125E-04  0.1591E-05
  0.8390E+02  0.4922E-04  0.1527E-05
  0.8442E+02  0.4724E-04  0.1459E-05
  0.8493E+02  0.4532E-04  0.1394E-05
  0.8545E+02  0.4344E-04  0.1340E-05
  0.8596E+02  0.4162E-04  0.1305E-05
  0.8648E+02  0.3984E-04  0.1296E-05
  0.8699E+02  0.3811E-04  0.1315E-05
  0.8751E+02  0.3642E-04  0.1362E-05
  0.8802E+02  0.3478E-04  0.1431E-05
  0.8854E+02  0.3319E-04  0.1515E-05
  0.8905E+02  0.3165E-04  0.1608E-05
  0.8957E+02  0.3016E-04  0.1700E-05
  0.9008E+02  0.2871E-04  0.1786E-05
  0.9059E+02  0.2732E-04  0.1860E-05
  0.9111E+02  0.2598E-04  0.1918E-05
  0.9162E+02  0.2469E-04  0.1959E-05
  0.9214E+02  0.2345E-04  0.1979E-05
  0.9265E+02  0.2226E-04  0.1980E-05
  0.9317E+02  0.2113E-04  0.1961E-05
  0.9368E+02  0.2005E-04  0.1925E-05
  0.9420E+02  0.1903E-04  0.1874E-05
  0.9471E+02  0.1806E-04  0.1814E-05
  0.9523E+02  0.1713E-04  0.1748E-05
  0.9574E+02  0.1626E-04  0.1683E-05
  0.9626E+02  0.1542E-04  0.1623E-05
  0.9677E+02  0.1464E-04  0.1576E-05
  0.9729E+02  0.1389E-04  0.1545E-05
  0.9780E+02  0.1318E-04  0.1533E-05
  0.9832E+02  0.1250E-04  0.1540E-05
  0.9883E+02  0.1184E-04  0.1563E-05
  0.9935E+02  0.1121E-04  0.1600E-05
  0.9986E+02  0.1060E-04  0.1644E-05
  0.1004E+03  0.9994E-05  0.1691E-05
  0.1009E+03  0.9400E-05  0.1738E-05
  0.1014E+03  0.8811E-05  0.1782E-05
  0.1019E+03  0.8221E-05  0.1820E-05
  0.1024E+03  0.7628E-05  0.1852E-05
  0.1029E+03  0.7028E-05  0.1878E-05
  0.1035E+03  0.6421E-05  0.1897E-05
  0.1040E+03  0.5806E-05  0.1908E-05
  0.1045E+03  0.5183E-05  0.1910E-05
  0.1050E+03  0.4556E-05  0.1901E-05
  0.1055E+03  0.3927E-05  0.1875E-05
  0.1060E+03  0.3304E-05  0.1827E-05
  0.1066E+03  0.2694E-05  0.1748E-05
  0.1071E+03  0.2106E-05  0.1628E-05
  0.1076E+03  0.1552E-05  0.1456E-05
  0.1081E+03  0.1048E-05  0.1221E-05
  0.1086E+03  0.6079E-06  0.9083E-06

