           Distance distribution  function of particle  


      R          P(R)      ERROR

  0.0000E+00  0.0000E+00  0.0000E+00
  0.5147E+00  0.5484E-05  0.1636E-06
  0.1029E+01  0.1150E-04  0.2917E-06
  0.1544E+01  0.1803E-04  0.3852E-06
  0.2059E+01  0.2509E-04  0.4456E-06
  0.2574E+01  0.3267E-04  0.4748E-06
  0.3088E+01  0.4076E-04  0.4754E-06
  0.3603E+01  0.4936E-04  0.4504E-06
  0.4118E+01  0.5846E-04  0.4032E-06
  0.4633E+01  0.6807E-04  0.3380E-06
  0.5147E+01  0.7816E-04  0.2599E-06
  0.5662E+01  0.8873E-04  0.1775E-06
  0.6177E+01  0.9977E-04  0.1142E-06
  0.6692E+01  0.1113E-03  0.1284E-06
  0.7206E+01  0.1232E-03  0.2073E-06
  0.7721E+01  0.1356E-03  0.3009E-06
  0.8236E+01  0.1484E-03  0.3929E-06
  0.8751E+01  0.1616E-03  0.4772E-06
  0.9265E+01  0.1752E-03  0.5502E-06
  0.9780E+01  0.1892E-03  0.6092E-06
  0.1029E+02  0.2035E-03  0.6522E-06
  0.1081E+02  0.2181E-03  0.6782E-06
  0.1132E+02  0.2331E-03  0.6864E-06
  0.1184E+02  0.2484E-03  0.6769E-06
  0.1235E+02  0.2639E-03  0.6501E-06
  0.1287E+02  0.2796E-03  0.6075E-06
  0.1338E+02  0.2956E-03  0.5509E-06
  0.1390E+02  0.3118E-03  0.4834E-06
  0.1441E+02  0.3281E-03  0.4094E-06
  0.1493E+02  0.3445E-03  0.3363E-06
  0.1544E+02  0.3610E-03  0.2768E-06
  0.1596E+02  0.3776E-03  0.2505E-06
  0.1647E+02  0.3941E-03  0.2717E-06
  0.1699E+02  0.4106E-03  0.3310E-06
  0.1750E+02  0.4271E-03  0.4086E-06
  0.1802E+02  0.4434E-03  0.4910E-06
  0.1853E+02  0.4596E-03  0.5700E-06
  0.1905E+02  0.4756E-03  0.6408E-06
  0.1956E+02  0.4913E-03  0.7001E-06
  0.2007E+02  0.5067E-03  0.7457E-06
  0.2059E+02  0.5218E-03  0.7760E-06
  0.2110E+02  0.5365E-03  0.7901E-06
  0.2162E+02  0.5507E-03  0.7878E-06
  0.2213E+02  0.5644E-03  0.7694E-06
  0.2265E+02  0.5776E-03  0.7360E-06
  0.2316E+02  0.5903E-03  0.6891E-06
  0.2368E+02  0.6023E-03  0.6312E-06
  0.2419E+02  0.6136E-03  0.5660E-06
  0.2471E+02  0.6242E-03  0.4985E-06
  0.2522E+02  0.6341E-03  0.4359E-06
  0.2574E+02  0.6432E-03  0.3882E-06
  0.2625E+02  0.6515E-03  0.3667E-06
  0.2677E+02  0.6590E-03  0.3779E-06
  0.2728E+02  0.6657E-03  0.4181E-06
  0.2780E+02  0.6714E-03  0.4766E-06
  0.2831E+02  0.6763E-03  0.5429E-06
  0.2883E+02  0.6804E-03  0.6090E-06
  0.2934E+02  0.6835E-03  0.6694E-06
  0.2986E+02  0.6857E-03  0.7205E-06
  0.3037E+02  0.6871E-03  0.7597E-06
  0.3088E+02  0.6876E-03  0.7855E-06
  0.3140E+02  0.6872E-03  0.7971E-06
  0.3191E+02  0.6861E-03  0.7947E-06
  0.3243E+02  0.6841E-03  0.7787E-06
  0.3294E+02  0.6814E-03  0.7509E-06
  0.3346E+02  0.6779E-03  0.7135E-06
  0.3397E+02  0.6738E-03  0.6698E-06
  0.3449E+02  0.6690E-03  0.6245E-06
  0.3500E+02  0.6635E-03  0.5832E-06
  0.3552E+02  0.6576E-03  0.5524E-06
  0.3603E+02  0.6511E-03  0.5384E-06
  0.3655E+02  0.6441E-03  0.5450E-06
  0.3706E+02  0.6368E-03  0.5719E-06
  0.3758E+02  0.6290E-03  0.6150E-06
  0.3809E+02  0.6210E-03  0.6683E-06
  0.3861E+02  0.6127E-03  0.7257E-06
  0.3912E+02  0.6042E-03  0.7819E-06
