           Distance distribution  function of particle  


       R          P(R)      ERROR

  0.0000E+00  0.0000E+00  0.0000E+00
  0.9368E+00  0.4599E-01  0.2825E-03
  0.1874E+01  0.9130E-01  0.4429E-03
  0.2810E+01  0.1360E+00  0.4950E-03
  0.3747E+01  0.1801E+00  0.4623E-03
  0.4684E+01  0.2238E+00  0.3833E-03
  0.5621E+01  0.2670E+00  0.3266E-03
  0.6558E+01  0.3099E+00  0.3720E-03
  0.7494E+01  0.3524E+00  0.5021E-03
  0.8431E+01  0.3943E+00  0.6491E-03
  0.9368E+01  0.4355E+00  0.7726E-03
  0.1030E+02  0.4757E+00  0.8537E-03
  0.1124E+02  0.5143E+00  0.8863E-03
  0.1218E+02  0.5511E+00  0.8751E-03
  0.1312E+02  0.5853E+00  0.8351E-03
  0.1405E+02  0.6164E+00  0.7909E-03
  0.1499E+02  0.6439E+00  0.7716E-03
  0.1593E+02  0.6671E+00  0.7975E-03
  0.1686E+02  0.6858E+00  0.8665E-03
  0.1780E+02  0.6994E+00  0.9578E-03
  0.1874E+02  0.7078E+00  0.1047E-02
  0.1967E+02  0.7111E+00  0.1118E-02
  0.2061E+02  0.7092E+00  0.1160E-02
  0.2155E+02  0.7027E+00  0.1174E-02
  0.2248E+02  0.6919E+00  0.1165E-02
  0.2342E+02  0.6774E+00  0.1145E-02
  0.2436E+02  0.6601E+00  0.1125E-02
  0.2529E+02  0.6407E+00  0.1115E-02
  0.2623E+02  0.6200E+00  0.1118E-02
  0.2717E+02  0.5988E+00  0.1131E-02
  0.2810E+02  0.5779E+00  0.1145E-02
  0.2904E+02  0.5579E+00  0.1155E-02
  0.2998E+02  0.5393E+00  0.1156E-02
  0.3091E+02  0.5224E+00  0.1149E-02
  0.3185E+02  0.5076E+00  0.1143E-02
  0.3279E+02  0.4947E+00  0.1146E-02
  0.3372E+02  0.4838E+00  0.1166E-02
  0.3466E+02  0.4747E+00  0.1207E-02
  0.3560E+02  0.4670E+00  0.1263E-02
  0.3654E+02  0.4604E+00  0.1326E-02
  0.3747E+02  0.4545E+00  0.1388E-02
  0.3841E+02  0.4490E+00  0.1440E-02
  0.3935E+02  0.4436E+00  0.1482E-02
  0.4028E+02  0.4379E+00  0.1513E-02
  0.4122E+02  0.4317E+00  0.1539E-02
  0.4216E+02  0.4249E+00  0.1566E-02
  0.4309E+02  0.4175E+00  0.1599E-02
  0.4403E+02  0.4095E+00  0.1639E-02
  0.4497E+02  0.4010E+00  0.1686E-02
  0.4590E+02  0.3922E+00  0.1734E-02
  0.4684E+02  0.3830E+00  0.1776E-02
  0.4778E+02  0.3739E+00  0.1807E-02
  0.4871E+02  0.3648E+00  0.1826E-02
  0.4965E+02  0.3559E+00  0.1831E-02
  0.5059E+02  0.3473E+00  0.1828E-02
  0.5152E+02  0.3390E+00  0.1821E-02
  0.5246E+02  0.3311E+00  0.1815E-02
  0.5340E+02  0.3234E+00  0.1812E-02
  0.5433E+02  0.3158E+00  0.1815E-02
  0.5527E+02  0.3084E+00  0.1821E-02
  0.5621E+02  0.3008E+00  0.1827E-02
  0.5714E+02  0.2931E+00  0.1830E-02
  0.5808E+02  0.2851E+00  0.1831E-02
  0.5902E+02  0.2767E+00  0.1832E-02
  0.5996E+02  0.2679E+00  0.1841E-02
  0.6089E+02  0.2586E+00  0.1866E-02
  0.6183E+02  0.2489E+00  0.1914E-02
  0.6277E+02  0.2388E+00  0.1988E-02
  0.6370E+02  0.2284E+00  0.2086E-02
  0.6464E+02  0.2177E+00  0.2202E-02
  0.6558E+02  0.2070E+00  0.2324E-02
  0.6651E+02  0.1963E+00  0.2444E-02
  0.6745E+02  0.1856E+00  0.2550E-02
  0.6839E+02  0.1752E+00  0.2637E-02
  0.6932E+02  0.1651E+00  0.2702E-02
  0.7026E+02  0.1552E+00  0.2743E-02
  0.7120E+02  0.1458E+00  0.2763E-02
  0.7213E+02  0.1368E+00  0.2767E-02
  0.7307E+02  0.1281E+00  0.2758E-02
  0.7401E+02  0.1198E+00  0.2741E-02
  0.7494E+02  0.1119E+00  0.2721E-02
  0.7588E+02  0.1043E+00  0.2698E-02
  0.7682E+02  0.9706E-01  0.2674E-02
  0.7775E+02  0.9010E-01  0.2646E-02
  0.7869E+02  0.8342E-01  0.2615E-02
  0.7963E+02  0.7702E-01  0.2577E-02
  0.8056E+02  0.7090E-01  0.2532E-02
  0.8150E+02  0.6505E-01  0.2480E-02
  0.8244E+02  0.5946E-01  0.2420E-02
  0.8338E+02  0.5413E-01  0.2352E-02
  0.8431E+02  0.4903E-01  0.2276E-02
  0.8525E+02  0.4414E-01  0.2190E-02
  0.8619E+02  0.3941E-01  0.2091E-02
  0.8712E+02  0.3479E-01  0.1972E-02
  0.8806E+02  0.3023E-01  0.1828E-02
  0.8900E+02  0.2564E-01  0.1649E-02
  0.8993E+02  0.2096E-01  0.1429E-02
  0.9087E+02  0.1612E-01  0.1159E-02
  0.9181E+02  0.1105E-01  0.8331E-03
  0.9274E+02  0.5687E-02  0.4476E-03
  0.9368E+02  0.0000E+00  0.0000E+00

