  0.2900E-01  0.7264E+01  0.2432E+00  0.7150E+01  0.7150E+01
  0.3000E-01  0.7115E+01  0.2332E+00  0.7022E+01  0.7022E+01
  0.3100E-01  0.6895E+01  0.2329E+00  0.6894E+01  0.6894E+01
  0.3200E-01  0.6743E+01  0.2314E+00  0.6765E+01  0.6765E+01
  0.3300E-01  0.6674E+01  0.2213E+00  0.6636E+01  0.6636E+01
  0.3400E-01  0.6560E+01  0.2190E+00  0.6506E+01  0.6506E+01
  0.3500E-01  0.6422E+01  0.2151E+00  0.6376E+01  0.6376E+01
  0.3600E-01  0.6310E+01  0.2113E+00  0.6247E+01  0.6247E+01
  0.3700E-01  0.6169E+01  0.2059E+00  0.6117E+01  0.6117E+01
  0.3800E-01  0.6059E+01  0.2040E+00  0.5989E+01  0.5989E+01
  0.3900E-01  0.5876E+01  0.1997E+00  0.5861E+01  0.5861E+01
  0.4000E-01  0.5699E+01  0.1970E+00  0.5734E+01  0.5734E+01
  0.4100E-01  0.5600E+01  0.1923E+00  0.5608E+01  0.5608E+01
  0.4200E-01  0.5468E+01  0.1892E+00  0.5483E+01  0.5483E+01
  0.4300E-01  0.5295E+01  0.1835E+00  0.5360E+01  0.5360E+01
  0.4400E-01  0.5124E+01  0.1826E+00  0.5238E+01  0.5238E+01
  0.4500E-01  0.5060E+01  0.1808E+00  0.5119E+01  0.5119E+01
  0.4600E-01  0.4925E+01  0.1785E+00  0.5001E+01  0.5001E+01
  0.4700E-01  0.4929E+01  0.1784E+00  0.4885E+01  0.4885E+01
  0.4800E-01  0.4723E+01  0.2032E+00  0.4771E+01  0.4771E+01
  0.4900E-01  0.4606E+01  0.1788E+00  0.4659E+01  0.4659E+01
  0.5025E-01  0.4527E+01  0.1349E+00  0.4522E+01  0.4522E+01
  0.5200E-01  0.4320E+01  0.1266E+00  0.4337E+01  0.4337E+01
  0.5400E-01  0.4136E+01  0.1213E+00  0.4135E+01  0.4135E+01
  0.5600E-01  0.3953E+01  0.1172E+00  0.3942E+01  0.3942E+01
  0.5800E-01  0.3760E+01  0.1145E+00  0.3760E+01  0.3760E+01
  0.6000E-01  0.3684E+01  0.1106E+00  0.3588E+01  0.3588E+01
  0.6200E-01  0.3434E+01  0.1118E+00  0.3426E+01  0.3426E+01
  0.6400E-01  0.3301E+01  0.1109E+00  0.3274E+01  0.3274E+01
  0.6600E-01  0.3175E+01  0.1113E+00  0.3131E+01  0.3131E+01
  0.6800E-01  0.2996E+01  0.1153E+00  0.2997E+01  0.2997E+01
  0.7000E-01  0.2910E+01  0.1163E+00  0.2872E+01  0.2872E+01
  0.7200E-01  0.2693E+01  0.1153E+00  0.2755E+01  0.2755E+01
  0.7400E-01  0.2709E+01  0.1125E+00  0.2646E+01  0.2646E+01
  0.7600E-01  0.2514E+01  0.1115E+00  0.2544E+01  0.2544E+01
  0.7800E-01  0.2399E+01  0.1139E+00  0.2449E+01  0.2449E+01
