           Distance distribution  function of particle  


       R          P(R)      ERROR

  0.0000E+00  0.0000E+00  0.0000E+00
  0.1543E+01  0.7401E-01  0.3922E-03
  0.3086E+01  0.1518E+00  0.5839E-03
  0.4629E+01  0.2326E+00  0.6106E-03
  0.6172E+01  0.3152E+00  0.5358E-03
  0.7715E+01  0.3978E+00  0.4692E-03
  0.9258E+01  0.4786E+00  0.5341E-03
  0.1080E+02  0.5557E+00  0.7107E-03
  0.1234E+02  0.6273E+00  0.9005E-03
  0.1389E+02  0.6917E+00  0.1046E-02
  0.1543E+02  0.7475E+00  0.1127E-02
  0.1697E+02  0.7939E+00  0.1148E-02
  0.1852E+02  0.8305E+00  0.1133E-02
  0.2006E+02  0.8573E+00  0.1114E-02
  0.2160E+02  0.8748E+00  0.1117E-02
  0.2315E+02  0.8839E+00  0.1148E-02
  0.2469E+02  0.8856E+00  0.1195E-02
  0.2623E+02  0.8813E+00  0.1236E-02
  0.2777E+02  0.8723E+00  0.1261E-02
  0.2932E+02  0.8601E+00  0.1274E-02
  0.3086E+02  0.8458E+00  0.1292E-02
  0.3240E+02  0.8304E+00  0.1332E-02
  0.3395E+02  0.8149E+00  0.1401E-02
  0.3549E+02  0.7997E+00  0.1492E-02
  0.3703E+02  0.7852E+00  0.1585E-02
  0.3858E+02  0.7714E+00  0.1664E-02
  0.4012E+02  0.7584E+00  0.1718E-02
  0.4166E+02  0.7460E+00  0.1748E-02
  0.4320E+02  0.7338E+00  0.1764E-02
  0.4475E+02  0.7217E+00  0.1779E-02
  0.4629E+02  0.7095E+00  0.1801E-02
  0.4783E+02  0.6968E+00  0.1834E-02
  0.4938E+02  0.6835E+00  0.1872E-02
  0.5092E+02  0.6696E+00  0.1907E-02
  0.5246E+02  0.6550E+00  0.1933E-02
  0.5401E+02  0.6399E+00  0.1949E-02
  0.5555E+02  0.6242E+00  0.1961E-02
  0.5709E+02  0.6081E+00  0.1981E-02
  0.5863E+02  0.5917E+00  0.2016E-02
  0.6018E+02  0.5752E+00  0.2072E-02
  0.6172E+02  0.5587E+00  0.2151E-02
  0.6326E+02  0.5424E+00  0.2249E-02
  0.6481E+02  0.5263E+00  0.2362E-02
  0.6635E+02  0.5106E+00  0.2485E-02
  0.6789E+02  0.4955E+00  0.2613E-02
  0.6944E+02  0.4811E+00  0.2739E-02
  0.7098E+02  0.4674E+00  0.2854E-02
  0.7252E+02  0.4545E+00  0.2951E-02
  0.7406E+02  0.4426E+00  0.3021E-02
  0.7561E+02  0.4316E+00  0.3060E-02
  0.7715E+02  0.4216E+00  0.3067E-02
  0.7869E+02  0.4124E+00  0.3050E-02
  0.8024E+02  0.4041E+00  0.3017E-02
  0.8178E+02  0.3964E+00  0.2981E-02
  0.8332E+02  0.3893E+00  0.2952E-02
  0.8487E+02  0.3824E+00  0.2936E-02
  0.8641E+02  0.3757E+00  0.2933E-02
  0.8795E+02  0.3690E+00  0.2940E-02
  0.8949E+02  0.3621E+00  0.2948E-02
  0.9104E+02  0.3548E+00  0.2952E-02
  0.9258E+02  0.3471E+00  0.2949E-02
  0.9412E+02  0.3390E+00  0.2938E-02
  0.9567E+02  0.3304E+00  0.2925E-02
  0.9721E+02  0.3214E+00  0.2913E-02
  0.9875E+02  0.3121E+00  0.2910E-02
  0.1003E+03  0.3026E+00  0.2917E-02
  0.1018E+03  0.2930E+00  0.2936E-02
  0.1034E+03  0.2834E+00  0.2965E-02
  0.1049E+03  0.2739E+00  0.2999E-02
  0.1065E+03  0.2646E+00  0.3035E-02
  0.1080E+03  0.2555E+00  0.3067E-02
  0.1096E+03  0.2466E+00  0.3092E-02
  0.1111E+03  0.2381E+00  0.3109E-02
  0.1126E+03  0.2297E+00  0.3117E-02
  0.1142E+03  0.2216E+00  0.3117E-02
  0.1157E+03  0.2137E+00  0.3107E-02
  0.1173E+03  0.2060E+00  0.3089E-02
  0.1188E+03  0.1985E+00  0.3063E-02
  0.1204E+03  0.1911E+00  0.3030E-02
  0.1219E+03  0.1839E+00  0.2990E-02
  0.1234E+03  0.1769E+00  0.2946E-02
  0.1250E+03  0.1701E+00  0.2905E-02
  0.1265E+03  0.1634E+00  0.2870E-02
  0.1281E+03  0.1569E+00  0.2847E-02
  0.1296E+03  0.1504E+00  0.2839E-02
  0.1312E+03  0.1440E+00  0.2843E-02
  0.1327E+03  0.1376E+00  0.2857E-02
  0.1342E+03  0.1311E+00  0.2873E-02
  0.1358E+03  0.1243E+00  0.2883E-02
  0.1373E+03  0.1172E+00  0.2880E-02
  0.1389E+03  0.1097E+00  0.2856E-02
  0.1404E+03  0.1017E+00  0.2804E-02
  0.1420E+03  0.9302E-01  0.2717E-02
  0.1435E+03  0.8374E-01  0.2590E-02
  0.1450E+03  0.7377E-01  0.2416E-02
  0.1466E+03  0.6311E-01  0.2187E-02
  0.1481E+03  0.5176E-01  0.1895E-02
  0.1497E+03  0.3975E-01  0.1535E-02
  0.1512E+03  0.2709E-01  0.1102E-02
  0.1528E+03  0.1383E-01  0.5903E-03
  0.1543E+03  0.0000E+00  0.0000E+00

