
           ####    G N O M   ---   Version 4.5a revised 09/02/02     ####

                                                  04/21/15 00:47:29       
           ===    Run No   1   ===
 Run title:   0.169308E-01  0.361805E+03  0.103761E+02


   *******   Working Directory :
   *******    Input file(s) : 26994_merged.dat
           Condition P(rmin) = 0 is used. 
           Condition P(rmax) = 0 is used. 

          Experimental conditions for the first run
          -----------------------------------------

          Highest ALPHA is found to be   0.2636E+03

  The measure of inconsistency AN1 equals to    0.9812E+00
     Alpha    Discrp  Oscill  Stabil  Sysdev  Positv  Valcen    Total   
  0.2636E+06 76.0768  1.3925  0.9537  0.0000  1.0000  0.8050  0.00001
  0.5271E+05 66.3244  1.3879  0.8320  0.0000  1.0000  0.8055  0.00001
  0.1054E+05 41.0444  1.3727  0.5142  0.0000  1.0000  0.8068  0.00001
  0.2109E+04 15.8690  1.3643  0.1830  0.0851  1.0000  0.8038  0.00001
  0.4217E+03  5.1600  1.4257  0.0516  0.0851  1.0000  0.7864  0.00001
  0.8434E+02  1.7439  1.4978  0.0222  0.3511  1.0000  0.7720  0.42841
  0.1687E+02  0.8274  1.5434  0.0116  0.5745  1.0000  0.7668  0.47474
  0.3374E+01  0.6366  1.5724  0.0075  0.6915  1.0000  0.7646  0.43104
  0.6747E+00  0.6060  1.5928  0.0051  0.6649  1.0000  0.7634  0.10000
  0.1349E+00  0.6017  1.6063  0.0038  0.6862  1.0000  0.7632  0.10000
  0.2699E-01  0.6010  1.6206  0.0072  0.6649  1.0000  0.7631  0.10000
  0.5398E-02  0.6003  1.6898  0.0194  0.6649  1.0000  0.7622  0.10000
  0.1080E-02  0.5996  2.0041  0.0426  0.6649  0.9999  0.7619  0.10000
  0.2159E-03  0.5986  3.6524  0.1665  0.6649  0.9982  0.7664  0.10000
  0.4318E-04  0.5967  8.3096  0.2657  0.6755  0.9792  0.7445  0.10000
  0.8637E-05  0.5957 11.4125  0.1195  0.6649  0.9470  0.6209  0.10000
  0.1727E-05  0.5955 13.4221  0.2273  0.6649  0.9226  0.5856  0.10000
  0.3455E-06  0.5954 17.7372  0.4060  0.6755  0.8709  0.5508  0.10000
  0.6909E-07  0.5953 22.4591  0.8313  0.6755  0.8374  0.3723  0.10000
  0.1382E-07  0.5949 22.2066  0.9635  0.6755  0.7408  0.3517  0.10000
  0.2764E-08  0.5932 22.8256  0.8949  0.6755  0.7046  0.3507  0.10000
  0.5527E-09  0.5863 25.3385  0.8257  0.6862  0.6913  0.3571  0.10000
  0.1105E-09  0.5620 31.1644  0.7183  0.6755  0.6806  0.3255  0.10000
  0.2211E-10  0.4916 38.8321  0.6819  0.6649  0.6705  0.3427  0.10000
  0.4422E-11  0.3466 43.7090  0.5157  0.6383  0.6825  0.3309  0.10000
  0.8844E-12  0.1722 47.6303  0.3019  0.6915  0.6941  0.2982  0.10000
  0.1769E-12  0.0558 50.2187  0.1233  0.6915  0.7030  0.2646  0.10000
  0.3538E-13  0.0132 51.2143  0.0329  0.6809  0.7046  0.2516  0.10000
  0.7075E-14  0.0027 51.4728  0.0072  0.6702  0.7046  0.2485  0.10000
  0.1415E-14  0.0006 51.5283  0.0015  0.6702  0.7046  0.2478  0.10000
  0.2830E-15  0.0001 51.5395  0.0003  0.6702  0.7045  0.2477  0.10000

          ***  Golden section search to maximize estimate ***
     Alpha    Discrp  Oscill  Stabil  Sysdev  Positv  Valcen    Total   
  0.3119E+02  1.0386  1.5284  0.0150  0.5532  1.0000  0.7682  0.48386
  0.4561E+02  1.2416  1.5177  0.0175  0.4894  1.0000  0.7693  0.47094
  0.2466E+02  0.9433  1.5344  0.0136  0.5532  1.0000  0.7676  0.48280
  0.3606E+02  1.1084  1.5244  0.0159  0.5426  1.0000  0.7686  0.48132
  0.2852E+02  0.9998  1.5307  0.0144  0.5532  1.0000  0.7679  0.48404
  0.2698E+02  0.9773  1.5321  0.0141  0.5532  1.0000  0.7678  0.48377
  0.2951E+02  1.0143  1.5298  0.0146  0.5532  1.0000  0.7680  0.48407
  0.3014E+02  1.0234  1.5293  0.0148  0.5532  1.0000  0.7681  0.48402
  0.2913E+02  1.0087  1.5302  0.0146  0.5532  1.0000  0.7680  0.48407
  0.2889E+02  1.0053  1.5304  0.0145  0.5532  1.0000  0.7680  0.48406
  0.2927E+02  1.0108  1.5300  0.0146  0.5532  1.0000  0.7680  0.48407
  0.2936E+02  1.0121  1.5299  0.0146  0.5532  1.0000  0.7680  0.48407
  0.2927E+02  1.0108  1.5300  0.0146  0.5532  1.0000  0.7680  0.48407



             ####            Final results            ####

 Parameter    DISCRP    OSCILL    STABIL    SYSDEV    POSITV    VALCEN
 Weight        1.000     3.000     3.000     4.000     1.000     1.000
 Sigma         0.500     0.600     0.120     0.200     0.120     0.120
 Ideal         1.000     1.100     0.000     1.000     1.000     0.950
 Current       1.011     1.530     0.015     0.553     1.000     0.768
                - - - - - - - - - - - - - - - - - - - - - - - - - 
 Estimate      1.000     0.598     0.985     0.007     1.000     0.100

  Angular   range    :     from    0.0178   to    0.3616
  Real space range   :     from      0.00   to     93.68

  Highest ALPHA (theor) :   0.264E+06                 JOB = 0
  Current ALPHA         :   0.293E+02   Rg :  0.277E+02   I(0) :   0.385E+03

           Total  estimate : 0.484  which is  A SUSPICIOUS  solution

      S          J EXP       ERROR       J REG       I REG

  0.0000E+00                                      0.3850E+03
  0.9392E-03                                      0.3849E+03
  0.1878E-02                                      0.3847E+03
  0.2818E-02                                      0.3842E+03
  0.3757E-02                                      0.3836E+03
  0.4696E-02                                      0.3828E+03
  0.5635E-02                                      0.3819E+03
  0.6575E-02                                      0.3807E+03
  0.7514E-02                                      0.3794E+03
  0.8453E-02                                      0.3780E+03
  0.9392E-02                                      0.3764E+03
  0.1033E-01                                      0.3746E+03
  0.1127E-01                                      0.3726E+03
  0.1221E-01                                      0.3705E+03
  0.1315E-01                                      0.3683E+03
  0.1409E-01                                      0.3659E+03
  0.1503E-01                                      0.3633E+03
  0.1597E-01                                      0.3606E+03
  0.1691E-01                                      0.3578E+03
  0.1785E-01  0.3571E+03  0.4462E+01  0.3549E+03  0.3549E+03
  0.1876E-01  0.3488E+03  0.3262E+01  0.3519E+03  0.3519E+03
  0.1967E-01  0.3469E+03  0.7843E+01  0.3488E+03  0.3488E+03
  0.2059E-01  0.3458E+03  0.3400E+01  0.3455E+03  0.3455E+03
  0.2150E-01  0.3453E+03  0.3097E+01  0.3422E+03  0.3422E+03
  0.2242E-01  0.3408E+03  0.3013E+01  0.3388E+03  0.3388E+03
  0.2333E-01  0.3350E+03  0.2900E+01  0.3353E+03  0.3353E+03
  0.2424E-01  0.3324E+03  0.6224E+01  0.3317E+03  0.3317E+03
  0.2516E-01  0.3300E+03  0.2780E+01  0.3280E+03  0.3280E+03
  0.2607E-01  0.3269E+03  0.2391E+01  0.3242E+03  0.3242E+03
  0.2699E-01  0.3240E+03  0.2340E+01  0.3203E+03  0.3203E+03
  0.2790E-01  0.3218E+03  0.2302E+01  0.3164E+03  0.3164E+03
  0.2882E-01  0.3143E+03  0.2190E+01  0.3124E+03  0.3124E+03
  0.2973E-01  0.3070E+03  0.2120E+01  0.3084E+03  0.3084E+03
  0.3064E-01  0.3020E+03  0.2052E+01  0.3043E+03  0.3043E+03
  0.3156E-01  0.3001E+03  0.2013E+01  0.3001E+03  0.3001E+03
  0.3247E-01  0.2971E+03  0.2025E+01  0.2960E+03  0.2960E+03
  0.3339E-01  0.2914E+03  0.1957E+01  0.2917E+03  0.2917E+03
  0.3430E-01  0.2872E+03  0.1972E+01  0.2875E+03  0.2875E+03
  0.3522E-01  0.2844E+03  0.1975E+01  0.2832E+03  0.2832E+03
  0.3613E-01  0.2790E+03  0.1958E+01  0.2789E+03  0.2789E+03
  0.3704E-01  0.2745E+03  0.1919E+01  0.2746E+03  0.2746E+03
  0.3796E-01  0.2695E+03  0.1904E+01  0.2702E+03  0.2702E+03
  0.3887E-01  0.2652E+03  0.1914E+01  0.2659E+03  0.2659E+03
  0.3979E-01  0.2616E+03  0.1899E+01  0.2615E+03  0.2615E+03
  0.4070E-01  0.2552E+03  0.1839E+01  0.2572E+03  0.2572E+03
  0.4161E-01  0.2517E+03  0.1781E+01  0.2529E+03  0.2529E+03
  0.4253E-01  0.2468E+03  0.1757E+01  0.2485E+03  0.2485E+03
  0.4344E-01  0.2444E+03  0.1687E+01  0.2442E+03  0.2442E+03
  0.4436E-01  0.2384E+03  0.1630E+01  0.2399E+03  0.2399E+03
  0.4527E-01  0.2348E+03  0.1589E+01  0.2357E+03  0.2357E+03
  0.4619E-01  0.2305E+03  0.1580E+01  0.2315E+03  0.2315E+03
  0.4710E-01  0.2271E+03  0.1559E+01  0.2273E+03  0.2273E+03
  0.4801E-01  0.2263E+03  0.1543E+01  0.2231E+03  0.2231E+03
  0.4893E-01  0.2221E+03  0.1533E+01  0.2190E+03  0.2190E+03
  0.4984E-01  0.2177E+03  0.1562E+01  0.2149E+03  0.2149E+03
  0.5076E-01  0.2109E+03  0.1565E+01  0.2108E+03  0.2108E+03
  0.5167E-01  0.2044E+03  0.1603E+01  0.2068E+03  0.2068E+03
  0.5259E-01  0.2015E+03  0.1601E+01  0.2029E+03  0.2029E+03
  0.5350E-01  0.2002E+03  0.1579E+01  0.1990E+03  0.1990E+03
  0.5441E-01  0.1969E+03  0.1577E+01  0.1952E+03  0.1952E+03
  0.5533E-01  0.1950E+03  0.1549E+01  0.1914E+03  0.1914E+03
  0.5624E-01  0.1906E+03  0.1514E+01  0.1877E+03  0.1877E+03
  0.5716E-01  0.1852E+03  0.1480E+01  0.1840E+03  0.1840E+03
  0.5807E-01  0.1830E+03  0.1449E+01  0.1804E+03  0.1804E+03
  0.5898E-01  0.1763E+03  0.1435E+01  0.1769E+03  0.1769E+03
  0.5990E-01  0.1723E+03  0.1400E+01  0.1734E+03  0.1734E+03
  0.6081E-01  0.1703E+03  0.1419E+01  0.1700E+03  0.1700E+03
  0.6173E-01  0.1685E+03  0.1188E+01  0.1667E+03  0.1667E+03
  0.6264E-01  0.1642E+03  0.1171E+01  0.1634E+03  0.1634E+03
  0.6356E-01  0.1612E+03  0.1180E+01  0.1602E+03  0.1602E+03
  0.6447E-01  0.1575E+03  0.1153E+01  0.1570E+03  0.1570E+03
  0.6538E-01  0.1553E+03  0.1165E+01  0.1540E+03  0.1540E+03
  0.6630E-01  0.1537E+03  0.1161E+01  0.1510E+03  0.1510E+03
  0.6721E-01  0.1503E+03  0.1151E+01  0.1481E+03  0.1481E+03
