           Distance distribution  function of particle  


       R          P(R)      ERROR

  0.0000E+00  0.0000E+00  0.0000E+00
  0.1045E+01  0.1532E+00  0.7225E-03
  0.2090E+01  0.3144E+00  0.1088E-02
  0.3135E+01  0.4832E+00  0.1147E-02
  0.4180E+01  0.6588E+00  0.9877E-03
  0.5225E+01  0.8403E+00  0.7764E-03
  0.6270E+01  0.1026E+01  0.7981E-03
  0.7315E+01  0.1215E+01  0.1124E-02
  0.8360E+01  0.1403E+01  0.1530E-02
  0.9405E+01  0.1590E+01  0.1868E-02
  0.1045E+02  0.1771E+01  0.2075E-02
  0.1149E+02  0.1944E+01  0.2133E-02
  0.1254E+02  0.2105E+01  0.2062E-02
  0.1358E+02  0.2252E+01  0.1917E-02
  0.1463E+02  0.2381E+01  0.1788E-02
  0.1567E+02  0.2489E+01  0.1771E-02
  0.1672E+02  0.2575E+01  0.1899E-02
  0.1777E+02  0.2638E+01  0.2120E-02
  0.1881E+02  0.2677E+01  0.2350E-02
  0.1985E+02  0.2692E+01  0.2522E-02
  0.2090E+02  0.2686E+01  0.2607E-02
  0.2195E+02  0.2660E+01  0.2604E-02
  0.2299E+02  0.2617E+01  0.2537E-02
  0.2403E+02  0.2560E+01  0.2449E-02
  0.2508E+02  0.2493E+01  0.2381E-02
  0.2612E+02  0.2420E+01  0.2358E-02
  0.2717E+02  0.2345E+01  0.2377E-02
  0.2821E+02  0.2269E+01  0.2411E-02
  0.2926E+02  0.2196E+01  0.2430E-02
  0.3030E+02  0.2129E+01  0.2417E-02
  0.3135E+02  0.2068E+01  0.2380E-02
  0.3239E+02  0.2013E+01  0.2348E-02
  0.3344E+02  0.1965E+01  0.2356E-02
  0.3448E+02  0.1924E+01  0.2434E-02
  0.3553E+02  0.1888E+01  0.2580E-02
  0.3657E+02  0.1856E+01  0.2766E-02
  0.3762E+02  0.1827E+01  0.2954E-02
  0.3866E+02  0.1800E+01  0.3111E-02
  0.3971E+02  0.1773E+01  0.3220E-02
  0.4075E+02  0.1745E+01  0.3284E-02
  0.4180E+02  0.1717E+01  0.3317E-02
  0.4284E+02  0.1687E+01  0.3345E-02
  0.4389E+02  0.1656E+01  0.3391E-02
  0.4493E+02  0.1624E+01  0.3467E-02
  0.4598E+02  0.1591E+01  0.3569E-02
  0.4702E+02  0.1558E+01  0.3681E-02
  0.4807E+02  0.1524E+01  0.3783E-02
  0.4911E+02  0.1490E+01  0.3858E-02
  0.5016E+02  0.1457E+01  0.3902E-02
  0.5120E+02  0.1423E+01  0.3918E-02
  0.5225E+02  0.1389E+01  0.3921E-02
  0.5329E+02  0.1355E+01  0.3927E-02
  0.5434E+02  0.1320E+01  0.3949E-02
  0.5538E+02  0.1284E+01  0.3989E-02
  0.5643E+02  0.1246E+01  0.4038E-02
  0.5747E+02  0.1207E+01  0.4081E-02
  0.5852E+02  0.1166E+01  0.4099E-02
  0.5956E+02  0.1124E+01  0.4083E-02
  0.6061E+02  0.1080E+01  0.4032E-02
  0.6165E+02  0.1035E+01  0.3961E-02
  0.6270E+02  0.9894E+00  0.3901E-02
  0.6374E+02  0.9437E+00  0.3888E-02
  0.6479E+02  0.8984E+00  0.3954E-02
  0.6583E+02  0.8540E+00  0.4115E-02
  0.6688E+02  0.8107E+00  0.4358E-02
  0.6792E+02  0.7689E+00  0.4653E-02
  0.6897E+02  0.7287E+00  0.4960E-02
  0.7002E+02  0.6900E+00  0.5242E-02
  0.7106E+02  0.6530E+00  0.5471E-02
  0.7210E+02  0.6173E+00  0.5634E-02
  0.7315E+02  0.5828E+00  0.5727E-02
  0.7419E+02  0.5493E+00  0.5761E-02
  0.7524E+02  0.5168E+00  0.5753E-02
  0.7628E+02  0.4852E+00  0.5724E-02
  0.7733E+02  0.4544E+00  0.5691E-02
  0.7838E+02  0.4247E+00  0.5663E-02
  0.7942E+02  0.3961E+00  0.5642E-02
  0.8046E+02  0.3689E+00  0.5621E-02
  0.8151E+02  0.3434E+00  0.5590E-02
  0.8255E+02  0.3197E+00  0.5539E-02
  0.8360E+02  0.2980E+00  0.5469E-02
  0.8464E+02  0.2784E+00  0.5386E-02
  0.8569E+02  0.2609E+00  0.5306E-02
  0.8673E+02  0.2454E+00  0.5247E-02
  0.8778E+02  0.2315E+00  0.5226E-02
  0.8882E+02  0.2191E+00  0.5250E-02
  0.8987E+02  0.2077E+00  0.5311E-02
  0.9091E+02  0.1969E+00  0.5393E-02
  0.9196E+02  0.1863E+00  0.5470E-02
  0.9300E+02  0.1755E+00  0.5518E-02
  0.9405E+02  0.1641E+00  0.5512E-02
  0.9509E+02  0.1519E+00  0.5434E-02
  0.9614E+02  0.1388E+00  0.5273E-02
  0.9718E+02  0.1246E+00  0.5019E-02
  0.9823E+02  0.1094E+00  0.4667E-02
  0.9927E+02  0.9312E-01  0.4210E-02
  0.1003E+03  0.7595E-01  0.3640E-02
  0.1014E+03  0.5798E-01  0.2948E-02
  0.1024E+03  0.3930E-01  0.2121E-02
  0.1035E+03  0.1996E-01  0.1144E-02
  0.1045E+03  0.0000E+00  0.0000E+00

