
           ####    G N O M   ---   Version 4.5a revised 09/02/02     ####

                                                  04/21/15 02:24:17       
           ===    Run No   1   ===
 Run title:   Merge of: 27005_01D_S1 27005_01E_S1 27005_01F_S1 27005_01G_S1 27


   *******   Working Directory :
   *******    Input file(s) : 27005_merged_ori.dat
           Condition P(rmin) = 0 is used. 
           Condition P(rmax) = 0 is used. 

          Experimental conditions for the first run
          -----------------------------------------

          Highest ALPHA is found to be   0.1039E+04

  The measure of inconsistency AN1 equals to    0.9000E+00
     Alpha    Discrp  Oscill  Stabil  Sysdev  Positv  Valcen    Total   
  0.1039E+07144.9172  1.2543  0.9501  0.0000  1.0000  0.8383  0.00001
  0.2078E+06125.4700  1.2580  0.8173  0.0000  1.0000  0.8371  0.00001
  0.4156E+05 76.4160  1.2746  0.4755  0.0000  1.0000  0.8318  0.00001
  0.8313E+04 30.0607  1.3352  0.1501  0.0260  1.0000  0.8130  0.00001
  0.1663E+04 10.4838  1.4650  0.0629  0.0883  1.0000  0.7776  0.00001
  0.3325E+03  3.1745  1.5743  0.0244  0.1506  1.0000  0.7520  0.00001
  0.6650E+02  1.1231  1.6227  0.0102  0.4052  1.0000  0.7427  0.46560
  0.1330E+02  0.6827  1.6464  0.0070  0.5506  1.0000  0.7396  0.41595
  0.2660E+01  0.5973  1.6638  0.0064  0.5558  1.0000  0.7384  0.37745
  0.5320E+00  0.5750  1.6874  0.0081  0.5662  1.0000  0.7377  0.10000
  0.1064E+00  0.5667  1.7278  0.0100  0.5558  1.0000  0.7376  0.10000
  0.2128E-01  0.5625  1.8377  0.0188  0.5662  1.0000  0.7381  0.10000
  0.4256E-02  0.5599  2.1273  0.0357  0.5662  0.9999  0.7375  0.10000
  0.8512E-03  0.5571  3.3585  0.1073  0.5766  0.9986  0.7315  0.10000
  0.1702E-03  0.5542  6.2494  0.1094  0.5714  0.9908  0.7118  0.10000
  0.3405E-04  0.5530  9.5738  0.2682  0.5714  0.9727  0.6803  0.10000
  0.6810E-05  0.5515 16.2316  0.4954  0.5818  0.9055  0.5443  0.10000
  0.1362E-05  0.5501 20.8083  0.4791  0.5818  0.8202  0.2634  0.10000
  0.2724E-06  0.5486 22.4583  0.9325  0.5818  0.7724  0.2640  0.10000
  0.5448E-07  0.5450 20.6645  0.6643  0.5818  0.7335  0.2734  0.10000
  0.1090E-07  0.5402 23.8301  0.5648  0.5818  0.7312  0.2866  0.10000
  0.2179E-08  0.5298 30.3260  0.8544  0.5818  0.7153  0.2518  0.10000
  0.4358E-09  0.4951 33.3918  0.7604  0.5818  0.6959  0.3209  0.10000
  0.8717E-10  0.4077 37.8506  0.6005  0.6234  0.7085  0.3716  0.10000
  0.1743E-10  0.2560 44.5362  0.4145  0.6338  0.7378  0.3897  0.10000
  0.3487E-11  0.1051 49.4673  0.2175  0.6442  0.7510  0.3672  0.10000
  0.6973E-12  0.0291 51.3792  0.0763  0.6649  0.7497  0.3613  0.10000
  0.1395E-12  0.0064 51.9121  0.0187  0.6649  0.7487  0.3579  0.10000
  0.2789E-13  0.0013 52.0311  0.0039  0.6649  0.7485  0.3569  0.10000
  0.5579E-14  0.0003 52.0555  0.0008  0.6649  0.7484  0.3567  0.10000
  0.1116E-14  0.0001 52.0604  0.0002  0.6649  0.7484  0.3567  0.10000

          ***  Golden section search to maximize estimate ***
     Alpha    Discrp  Oscill  Stabil  Sysdev  Positv  Valcen    Total   
  0.3596E+02  0.8703  1.6331  0.0084  0.4883  1.0000  0.7411  0.45030
  0.1064E+03  1.4502  1.6127  0.0127  0.2909  1.0000  0.7444  0.44972
  0.5258E+02  1.0080  1.6270  0.0094  0.4052  1.0000  0.7420  0.46291
  0.7957E+02  1.2309  1.6192  0.0111  0.3740  1.0000  0.7433  0.46277
  0.6080E+02  1.0760  1.6244  0.0099  0.4156  1.0000  0.7424  0.46533
  0.7122E+02  1.1620  1.6214  0.0105  0.3844  1.0000  0.7429  0.46506
  0.6426E+02  1.1046  1.6234  0.0101  0.4156  1.0000  0.7426  0.46563
  0.6292E+02  1.0935  1.6238  0.0100  0.4052  1.0000  0.7425  0.46555
  0.6511E+02  1.1116  1.6231  0.0101  0.4156  1.0000  0.7426  0.46564
  0.6564E+02  1.1160  1.6230  0.0102  0.4052  1.0000  0.7427  0.46562
  0.6478E+02  1.1089  1.6232  0.0101  0.4156  1.0000  0.7426  0.46564
  0.6531E+02  1.1133  1.6231  0.0102  0.4156  1.0000  0.7426  0.46564
  0.6511E+02  1.1116  1.6231  0.0101  0.4156  1.0000  0.7426  0.46564



             ####            Final results            ####

 Parameter    DISCRP    OSCILL    STABIL    SYSDEV    POSITV    VALCEN
 Weight        1.000     3.000     3.000     4.000     1.000     1.000
 Sigma         0.500     0.600     0.120     0.200     0.120     0.120
 Ideal         1.000     1.100     0.000     1.000     1.000     0.950
 Current       1.112     1.623     0.010     0.416     1.000     0.743
                - - - - - - - - - - - - - - - - - - - - - - - - - 
 Estimate      0.951     0.468     0.993     0.000     1.000     0.050

  Angular   range    :     from    0.0096   to    0.3616
  Real space range   :     from      0.00   to    104.50

  Highest ALPHA (theor) :   0.104E+07                 JOB = 0
  Current ALPHA         :   0.651E+02   Rg :  0.297E+02   I(0) :   0.155E+04

           Total  estimate : 0.466  which is  A SUSPICIOUS  solution

      S          J EXP       ERROR       J REG       I REG

  0.0000E+00                                      0.1550E+04
  0.9617E-03                                      0.1550E+04
  0.1923E-02                                      0.1548E+04
  0.2885E-02                                      0.1546E+04
  0.3847E-02                                      0.1543E+04
  0.4809E-02                                      0.1540E+04
  0.5770E-02                                      0.1535E+04
  0.6732E-02                                      0.1530E+04
  0.7694E-02                                      0.1523E+04
  0.8655E-02                                      0.1516E+04
  0.9617E-02  0.1510E+04  0.1961E+02  0.1509E+04  0.1509E+04
  0.1053E-01  0.1498E+04  0.1337E+02  0.1500E+04  0.1500E+04
  0.1145E-01  0.1491E+04  0.9909E+01  0.1492E+04  0.1492E+04
  0.1236E-01  0.1489E+04  0.7933E+01  0.1482E+04  0.1482E+04
  0.1327E-01  0.1479E+04  0.6148E+01  0.1472E+04  0.1472E+04
  0.1419E-01  0.1467E+04  0.5064E+01  0.1461E+04  0.1461E+04
  0.1510E-01  0.1454E+04  0.4439E+01  0.1450E+04  0.1450E+04
  0.1602E-01  0.1439E+04  0.1397E+02  0.1438E+04  0.1438E+04
  0.1693E-01  0.1429E+04  0.5614E+01  0.1426E+04  0.1426E+04
  0.1785E-01  0.1418E+04  0.4764E+01  0.1413E+04  0.1413E+04
  0.1876E-01  0.1403E+04  0.4484E+01  0.1399E+04  0.1399E+04
  0.1967E-01  0.1390E+04  0.4091E+01  0.1385E+04  0.1385E+04
  0.2059E-01  0.1371E+04  0.1306E+02  0.1371E+04  0.1371E+04
  0.2150E-01  0.1358E+04  0.5325E+01  0.1356E+04  0.1356E+04
  0.2242E-01  0.1336E+04  0.4942E+01  0.1341E+04  0.1341E+04
  0.2333E-01  0.1321E+04  0.4783E+01  0.1325E+04  0.1325E+04
  0.2424E-01  0.1308E+04  0.4576E+01  0.1309E+04  0.1309E+04
  0.2516E-01  0.1292E+04  0.4442E+01  0.1293E+04  0.1293E+04
  0.2607E-01  0.1274E+04  0.4186E+01  0.1276E+04  0.1276E+04
  0.2699E-01  0.1259E+04  0.4038E+01  0.1259E+04  0.1259E+04
  0.2790E-01  0.1240E+04  0.3991E+01  0.1242E+04  0.1242E+04
  0.2882E-01  0.1223E+04  0.3795E+01  0.1224E+04  0.1224E+04
  0.2973E-01  0.1201E+04  0.3662E+01  0.1206E+04  0.1206E+04
  0.3064E-01  0.1186E+04  0.3587E+01  0.1189E+04  0.1189E+04
  0.3156E-01  0.1170E+04  0.3530E+01  0.1171E+04  0.1171E+04
  0.3247E-01  0.1150E+04  0.3520E+01  0.1152E+04  0.1152E+04
  0.3339E-01  0.1135E+04  0.3432E+01  0.1134E+04  0.1134E+04
  0.3430E-01  0.1117E+04  0.3447E+01  0.1116E+04  0.1116E+04
  0.3522E-01  0.1098E+04  0.3438E+01  0.1097E+04  0.1097E+04
  0.3613E-01  0.1079E+04  0.3484E+01  0.1079E+04  0.1079E+04
  0.3704E-01  0.1064E+04  0.3404E+01  0.1060E+04  0.1060E+04
  0.3796E-01  0.1037E+04  0.3399E+01  0.1042E+04  0.1042E+04
  0.3887E-01  0.1021E+04  0.3419E+01  0.1024E+04  0.1024E+04
  0.3979E-01  0.1011E+04  0.3312E+01  0.1005E+04  0.1005E+04
  0.4070E-01  0.9918E+03  0.3217E+01  0.9869E+03  0.9869E+03
  0.4161E-01  0.9698E+03  0.3087E+01  0.9687E+03  0.9687E+03
  0.4253E-01  0.9483E+03  0.2978E+01  0.9507E+03  0.9507E+03
  0.4344E-01  0.9284E+03  0.2912E+01  0.9327E+03  0.9327E+03
  0.4436E-01  0.9119E+03  0.2817E+01  0.9149E+03  0.9149E+03
  0.4527E-01  0.8974E+03  0.2728E+01  0.8973E+03  0.8973E+03
  0.4619E-01  0.8794E+03  0.2744E+01  0.8799E+03  0.8799E+03
  0.4710E-01  0.8670E+03  0.2773E+01  0.8626E+03  0.8626E+03
  0.4801E-01  0.8482E+03  0.2731E+01  0.8456E+03  0.8456E+03
  0.4893E-01  0.8278E+03  0.2674E+01  0.8288E+03  0.8288E+03
  0.4984E-01  0.8107E+03  0.2683E+01  0.8122E+03  0.8122E+03
  0.5076E-01  0.7956E+03  0.2708E+01  0.7958E+03  0.7958E+03
  0.5167E-01  0.7810E+03  0.2765E+01  0.7798E+03  0.7798E+03
  0.5259E-01  0.7665E+03  0.2743E+01  0.7639E+03  0.7639E+03
  0.5350E-01  0.7514E+03  0.2738E+01  0.7484E+03  0.7484E+03
  0.5441E-01  0.7345E+03  0.2712E+01  0.7331E+03  0.7331E+03
  0.5533E-01  0.7199E+03  0.2653E+01  0.7181E+03  0.7181E+03
  0.5624E-01  0.7032E+03  0.2597E+01  0.7033E+03  0.7033E+03
  0.5716E-01  0.6914E+03  0.2586E+01  0.6889E+03  0.6889E+03
  0.5807E-01  0.6809E+03  0.2509E+01  0.6748E+03  0.6748E+03
  0.5898E-01  0.6664E+03  0.2458E+01  0.6609E+03  0.6609E+03
  0.5990E-01  0.6498E+03  0.2377E+01  0.6474E+03  0.6474E+03
  0.6081E-01  0.6352E+03  0.2346E+01  0.6341E+03  0.6341E+03
  0.6173E-01  0.6269E+03  0.2358E+01  0.6212E+03  0.6212E+03
  0.6264E-01  0.6180E+03  0.2334E+01  0.6085E+03  0.6085E+03
